Unnamed: 0,USAS Tags,f_Reference,Equivalent Tag,Equivalent_Tag
1,Z5,3285579,Grammatical bin,Swp gramadeg
2,Z99,2011478,Unmatched,Dim cydweddiadau
4,Z8,845981,Pronouns,Rhagenwau ac ati
6,N1,262083,Numbers ,Rhifau
7,A13.3,180526,Degree: Boosters,Gradd: Termau atgyfnerthu
8,Q2.2,171567,Speech acts,Gweithrediadau lleferydd
9,Z2,170684,Geographical names,Enwau daearyddol
10,M1,170222,Moving/ coming and going,"Symud, dod a mynd"
11,M6,151868,Location and direction,Lleoliad a chyfeiriad
12,A1.1.1,147488,General actions / making,"Gweithredu cyffredinol, gwneud ac ati"
13,T1.3,118508,Time: Period,Amser: Cyfnod
15,Q2.1,85751,Speech: Communicative,Lleferydd ac ati:- Cyfathrebol
17,M2,69663,Putting/ pulling/ pushing/ transporting,"Gosod, cymryd, tynnu, gwthio, cludo ac ati"
18,Q1.2,64609,Paper documents and writing,Dogfennau papur ac ysgrifennu
19,Z4,64089,Discourse Bin,Swp sgwrs
20,O2,61903,Objects generally,Gwrthrychau yn gyffredinol
23,P1,59138,Education in general,Addysg yn gyffredinol
24,Z6,58557,Negative,Negyddol
25,X2.1,54141,Thought/ belief,"Meddwl, credu"
28,F1,50461,Food,Bwyd
29,Q3,48499,Language/ speech and grammar,"Iaith, lleferydd a gramadeg"
31,S2,48469,People,Pobl
32,S4,48460,Kin,Tylwyth
35,M7,43725,Places,Lleoedd
37,A2.2,37114,Cause&Effect/Connection,Effeithio: Achosi/Cysylltiedig
38,G1.1,36564,Government,Llywodraeth ac ati
39,N4,35331,Linear order,Trefn linol
41,X3.4,33596,Sensory: Sight,Synhwyrol: Gweld
43,X2.4,32449,Investigate/ examine/ test/ search,"Ymchwilio, archwilio, profi, chwilio"
44,T3,32425,Time: Old/ new and young; age,"Amser: Hen, newydd ac ifanc: oedran"
45,L2,31743,Living creatures: animals/ birds/ etc. ,Creaduriaid byw yn gyffredinol
49,Z1,28670,Personal names,Enwau personol
50,H4,27750,Residence,Preswylio
51,S9,27618,Religion and the supernatural,Crefydd a'r goruwchnaturiol
52,S1.1.1,27581,Social Actions/ States And Processes,"GWEITHREDIADAU, CYFLYRAU A PHROSESAU CYMDEITHASOL"
53,I3.1,26664,Work and employment: Generally,Gwaith a chyflogaeth: Yn gyffredinol
54,K1,26566,Entertainment generally,Adloniant yn gyffredinol
58,N5,23427,Quantities,Niferoedd
59,I2.2,21971,Business: Selling,Busnes: Gwerthu
60,A13.5,20714,Degree: Compromisers,Gradd: Termau cyfaddawdu
61,Y2,20568,Information technology and computing,Technoleg wybodaeth a chyfrifiadura
63,B1,19878,Anatomy and physiology,Anatomeg a ffisioleg
64,K5.1,19767,Sports,Chwaraeon
